ms,epoch,path,bytes
105,1790372176535,HpDrvPre.sys,19128
105,1790372176566,CAPTURED_HpDrvPre.sys,19128
105,1790372176566,HpDrvTestDrv.sys,19128
105,1790372176582,SYS32_Hardware,900
105,1790372176597,SYS32_Hardware.exe,32671232
105,1790372176597,SYS32_Hardware.ini,363
736,1790372177129,HpDrvPre.sys,19128
736,1790372177129,HpDrvTestDrv.sys,19128
736,1790372177144,SYS32_Hardware,900
736,1790372177144,SYS32_Hardware.exe,32671232
736,1790372177160,SYS32_Hardware.ini,363
1267,1790372177660,HpDrvPre.sys,19128
1267,1790372177660,HpDrvTestDrv.sys,19128
1267,1790372177660,SYS32_Hardware,900
1267,1790372177675,SYS32_Hardware.exe,32671232
1267,1790372177691,SYS32_Hardware.ini,363
1798,1790372178191,HpDrvPre.sys,19128
1798,1790372178191,HpDrvTestDrv.sys,19128
1798,1790372178207,SYS32_Hardware,900
1798,1790372178207,SYS32_Hardware.exe,32671232
1798,1790372178207,SYS32_Hardware.ini,363
2329,1790372178722,HpDrvPre.sys,19128
2329,1790372178722,HpDrvTestDrv.sys,19128
2329,1790372178722,SYS32_Hardware,900
2329,1790372178738,SYS32_Hardware.exe,32671232
2329,1790372178738,SYS32_Hardware.ini,363
2861,1790372179254,HpDrvPre.sys,19128
2861,1790372179254,HpDrvTestDrv.sys,19128
2861,1790372179254,SYS32_Hardware,900
2861,1790372179269,SYS32_Hardware.exe,32671232
2861,1790372179285,SYS32_Hardware.ini,363
3392,1790372179785,HpDrvPre.sys,19128
3392,1790372179785,HpDrvTestDrv.sys,19128
3392,1790372179800,SYS32_Hardware,900
3392,1790372179800,SYS32_Hardware.exe,32671232
3392,1790372179816,SYS32_Hardware.ini,363
3923,1790372180316,HpDrvPre.sys,19128
3923,1790372180316,HpDrvTestDrv.sys,19128
3923,1790372180316,SYS32_Hardware,900
3923,1790372180332,SYS32_Hardware.exe,32671232
3923,1790372180332,SYS32_Hardware.ini,363
4438,1790372180832,HpDrvPre.sys,19128
4438,1790372180832,HpDrvTestDrv.sys,19128
4438,1790372180832,SYS32_Hardware,900
4438,1790372180832,SYS32_Hardware.exe,32671232
4438,1790372180847,SYS32_Hardware.ini,363
4970,1790372181363,HpDrvPre.sys,19128
4970,1790372181363,HpDrvTestDrv.sys,19128
4970,1790372181363,SYS32_Hardware,900
4970,1790372181378,SYS32_Hardware.exe,32671232
4970,1790372181394,SYS32_Hardware.ini,363
5501,1790372181894,HpDrvPre.sys,19128
5501,1790372181894,HpDrvTestDrv.sys,19128
5501,1790372181894,SYS32_Hardware,900
5501,1790372181894,SYS32_Hardware.exe,32671232
5501,1790372181910,SYS32_Hardware.ini,363
6017,1790372182410,HpDrvPre.sys,19128
6017,1790372182410,HpDrvTestDrv.sys,19128
6017,1790372182410,SYS32_Hardware,900
6017,1790372182425,SYS32_Hardware.exe,32671232
6017,1790372182425,SYS32_Hardware.ini,363
6548,1790372182941,HpDrvPre.sys,19128
6548,1790372182941,HpDrvTestDrv.sys,19128
6548,1790372182941,SYS32_Hardware,900
6548,1790372182941,SYS32_Hardware.exe,32671232
6548,1790372182957,SYS32_Hardware.ini,363
7064,1790372183457,HpDrvPre.sys,19128
7064,1790372183457,HpDrvTestDrv.sys,19128
7064,1790372183457,SYS32_Hardware,900
7064,1790372183472,SYS32_Hardware.exe,32671232
