ms,epoch,path,bytes
84,1790373958407,HpDrvPre.sys,19128
84,1790373958454,CAPTURED_HpDrvPre.sys,19128
84,1790373958454,HpDrvTestDrv.sys,19128
84,1790373958469,SYS32_Hardware,900
84,1790373958469,SYS32_Hardware.exe,32671232
84,1790373958469,SYS32_Hardware.ini,363
736,1790373959016,HpDrvPre.sys,19128
736,1790373959016,HpDrvTestDrv.sys,19128
736,1790373959016,SYS32_Hardware,900
736,1790373959032,SYS32_Hardware.exe,32671232
736,1790373959032,SYS32_Hardware.ini,363
1252,1790373959532,HpDrvPre.sys,19128
1252,1790373959532,HpDrvTestDrv.sys,19128
1252,1790373959532,SYS32_Hardware,900
1252,1790373959547,SYS32_Hardware.exe,32671232
1252,1790373959547,SYS32_Hardware.ini,363
1767,1790373960063,HpDrvPre.sys,19128
1767,1790373960063,HpDrvTestDrv.sys,19128
1767,1790373960063,SYS32_Hardware,900
1767,1790373960063,SYS32_Hardware.exe,32671232
1767,1790373960079,SYS32_Hardware.ini,363
2298,1790373960579,HpDrvPre.sys,19128
2298,1790373960579,HpDrvTestDrv.sys,19128
2298,1790373960579,SYS32_Hardware,900
2298,1790373960594,SYS32_Hardware.exe,32671232
2298,1790373960594,SYS32_Hardware.ini,363
2829,1790373961110,HpDrvPre.sys,19128
2829,1790373961110,HpDrvTestDrv.sys,19128
2829,1790373961110,SYS32_Hardware,900
2829,1790373961126,SYS32_Hardware.exe,32671232
2829,1790373961141,SYS32_Hardware.ini,363
3361,1790373961641,HpDrvPre.sys,19128
3361,1790373961641,HpDrvTestDrv.sys,19128
3361,1790373961641,SYS32_Hardware,900
3361,1790373961657,SYS32_Hardware.exe,32671232
3361,1790373961657,SYS32_Hardware.ini,363
3892,1790373962172,HpDrvPre.sys,19128
3892,1790373962172,HpDrvTestDrv.sys,19128
3892,1790373962172,SYS32_Hardware,900
3892,1790373962188,SYS32_Hardware.exe,32671232
3892,1790373962188,SYS32_Hardware.ini,363
4423,1790373962704,HpDrvPre.sys,19128
4423,1790373962704,HpDrvTestDrv.sys,19128
4423,1790373962704,SYS32_Hardware,900
4423,1790373962704,SYS32_Hardware.exe,32671232
4423,1790373962719,SYS32_Hardware.ini,363
4955,1790373963235,HpDrvPre.sys,19128
4955,1790373963235,HpDrvTestDrv.sys,19128
4955,1790373963235,SYS32_Hardware,900
4955,1790373963251,SYS32_Hardware.exe,32671232
4955,1790373963251,SYS32_Hardware.ini,363
5470,1790373963751,HpDrvPre.sys,19128
5470,1790373963751,HpDrvTestDrv.sys,19128
5470,1790373963751,SYS32_Hardware,900
5470,1790373963751,SYS32_Hardware.exe,32671232
5470,1790373963766,SYS32_Hardware.ini,363
5986,1790373964266,HpDrvPre.sys,19128
5986,1790373964266,HpDrvTestDrv.sys,19128
5986,1790373964266,SYS32_Hardware,900
5986,1790373964282,SYS32_Hardware.exe,32671232
5986,1790373964282,SYS32_Hardware.ini,363
6517,1790373964798,HpDrvPre.sys,19128
6517,1790373964798,HpDrvTestDrv.sys,19128
6517,1790373964798,SYS32_Hardware,900
6517,1790373964813,SYS32_Hardware.exe,32671232
6517,1790373964829,SYS32_Hardware.ini,363
7063,1790373965344,HpDrvPre.sys,19128
7063,1790373965344,HpDrvTestDrv.sys,19128
7063,1790373965344,SYS32_Hardware,900
7063,1790373965376,SYS32_Hardware.exe,32671232
7063,1790373965376,SYS32_Hardware.ini,363
7612,1790373965891,HpDrvPre.sys,19128
7612,1790373965891,HpDrvTestDrv.sys,19128
7612,1790373965907,SYS32_Hardware,900
7612,1790373965907,SYS32_Hardware.exe,32671232
7612,1790373965938,SYS32_Hardware.ini,363
8157,1790373966438,HpDrvPre.sys,19128
8157,1790373966438,HpDrvTestDrv.sys,19128
8157,1790373966438,SYS32_Hardware,900
8157,1790373966454,SYS32_Hardware.exe,32671232
8157,1790373966454,SYS32_Hardware.ini,363
8751,1790373967032,HpDrvPre.sys,19128
8751,1790373967032,HpDrvTestDrv.sys,19128
8751,1790373967032,SYS32_Hardware,900
8751,1790373967032,SYS32_Hardware.exe,32671232
8751,1790373967063,SYS32_Hardware.ini,363
9298,1790373967579,HpDrvPre.sys,19128
9298,1790373967579,HpDrvTestDrv.sys,19128
9298,1790373967579,SYS32_Hardware,900
9298,1790373967594,SYS32_Hardware.exe,32671232
9298,1790373967610,SYS32_Hardware.ini,363
9830,1790373968110,HpDrvPre.sys,19128
9830,1790373968110,HpDrvTestDrv.sys,19128
9830,1790373968110,SYS32_Hardware,900
9830,1790373968126,SYS32_Hardware.exe,32671232
9830,1790373968126,SYS32_Hardware.ini,363
10345,1790373968626,HpDrvPre.sys,19128
10345,1790373968626,HpDrvTestDrv.sys,19128
10345,1790373968626,SYS32_Hardware,900
10345,1790373968641,SYS32_Hardware.exe,32671232
10345,1790373968641,SYS32_Hardware.ini,363
10877,1790373969157,HpDrvPre.sys,19128
10877,1790373969157,HpDrvTestDrv.sys,19128
10877,1790373969157,SYS32_Hardware,900
10877,1790373969173,SYS32_Hardware.exe,32671232
10877,1790373969188,SYS32_Hardware.ini,363
