ms,epoch,path,bytes
60,1790418920981,HpDrvPre.sys,19128
60,1790418920997,SYS32_Hardware.exe,32671232
1007,1790418921919,HpDrvPre.sys,19128
1007,1790418921919,SYS32_Hardware.exe,32671232
1508,1790418922419,HpDrvPre.sys,19128
1508,1790418922419,SYS32_Hardware.exe,32671232
2023,1790418922934,HpDrvPre.sys,19128
2023,1790418922934,SYS32_Hardware.exe,32671232
2539,1790418923450,HpDrvPre.sys,19128
2539,1790418923450,SYS32_Hardware.exe,32671232
3070,1790418923981,HpDrvPre.sys,19128
3070,1790418923981,SYS32_Hardware.exe,32671232
3586,1790418924497,HpDrvPre.sys,19128
3586,1790418924497,SYS32_Hardware.exe,32671232
4086,1790418924997,HpDrvPre.sys,19128
4086,1790418924997,SYS32_Hardware.exe,32671232
4601,1790418925512,HpDrvPre.sys,19128
4601,1790418925528,SYS32_Hardware.exe,32671232
5117,1790418926028,HpDrvPre.sys,19128
5117,1790418926028,SYS32_Hardware.exe,32671232
5633,1790418926544,HpDrvPre.sys,19128
5633,1790418926544,SYS32_Hardware.exe,32671232
6148,1790418927059,HpDrvPre.sys,19128
6148,1790418927059,SYS32_Hardware.exe,32671232
6679,1790418927591,HpDrvPre.sys,19128
6679,1790418927591,SYS32_Hardware.exe,32671232
7195,1790418928106,HpDrvPre.sys,19128
7195,1790418928122,SYS32_Hardware.exe,32671232
7726,1790418928637,HpDrvPre.sys,19128
7726,1790418928637,SYS32_Hardware.exe,32671232
8242,1790418929153,HpDrvPre.sys,19128
8242,1790418929153,SYS32_Hardware.exe,32671232
8758,1790418929669,HpDrvPre.sys,19128
8758,1790418929669,SYS32_Hardware.exe,32671232
9273,1790418930184,HpDrvPre.sys,19128
9273,1790418930184,SYS32_Hardware.exe,32671232
9789,1790418930700,HpDrvPre.sys,19128
9789,1790418930700,SYS32_Hardware.exe,32671232
10289,1790418931200,HpDrvPre.sys,19128
10289,1790418931200,SYS32_Hardware.exe,32671232
10815,1790418931737,HpDrvPre.sys,19128
10815,1790418931737,SYS32_Hardware.exe,32671232
11326,1790418932237,HpDrvPre.sys,19128
11326,1790418932237,SYS32_Hardware.exe,32671232
11842,1790418932753,HpDrvPre.sys,19128
11842,1790418932753,SYS32_Hardware.exe,32671232
12355,1790418933266,HpDrvPre.sys,19128
12355,1790418933266,SYS32_Hardware.exe,32671232
12886,1790418933798,HpDrvPre.sys,19128
12886,1790418933798,SYS32_Hardware.exe,32671232
13387,1790418934298,HpDrvPre.sys,19128
13387,1790418934298,SYS32_Hardware.exe,32671232
13887,1790418934808,HpDrvPre.sys,19128
13887,1790418934808,SYS32_Hardware.exe,32671232
14407,1790418935318,HpDrvPre.sys,19128
14407,1790418935318,SYS32_Hardware.exe,32671232
14922,1790418935834,HpDrvPre.sys,19128
14922,1790418935834,SYS32_Hardware.exe,32671232
15423,1790418936334,HpDrvPre.sys,19128
15423,1790418936334,SYS32_Hardware.exe,32671232
15923,1790418936834,HpDrvPre.sys,19128
15923,1790418936834,SYS32_Hardware.exe,32671232
16423,1790418937334,HpDrvPre.sys,19128
16423,1790418937334,SYS32_Hardware.exe,32671232
16939,1790418937850,HpDrvPre.sys,19128
16939,1790418937850,SYS32_Hardware.exe,32671232
17454,1790418938366,HpDrvPre.sys,19128
17454,1790418938366,SYS32_Hardware.exe,32671232
17961,1790418938873,HpDrvPre.sys,19128
17961,1790418938873,SYS32_Hardware.exe,32671232
18461,1790418939373,HpDrvPre.sys,19128
18461,1790418939382,SYS32_Hardware.exe,32671232
18997,1790418939908,HpDrvPre.sys,19128
18997,1790418939908,SYS32_Hardware.exe,32671232
19497,1790418940408,HpDrvPre.sys,19128
19497,1790418940408,SYS32_Hardware.exe,32671232
19997,1790418940908,HpDrvPre.sys,19128
