ms,epoch,path,bytes
71,1790369863448,SYS32_Hardware,900
71,1790369863463,SYS32_Hardware.exe,32671232
71,1790369863463,SYS32_Hardware.ini,363
653,1790369863979,SYS32_Hardware,900
653,1790369863979,SYS32_Hardware.exe,32671232
653,1790369863994,SYS32_Hardware.ini,363
1168,1790369864494,SYS32_Hardware,900
1168,1790369864494,SYS32_Hardware.exe,32671232
1168,1790369864510,SYS32_Hardware.ini,363
1684,1790369865010,SYS32_Hardware,900
1684,1790369865010,SYS32_Hardware.exe,32671232
1684,1790369865010,SYS32_Hardware.ini,363
2200,1790369865526,SYS32_Hardware,900
2200,1790369865541,SYS32_Hardware.exe,32671232
2200,1790369865541,SYS32_Hardware.ini,363
2730,1790369866057,SYS32_Hardware,900
2730,1790369866057,SYS32_Hardware.exe,32671232
2730,1790369866073,SYS32_Hardware.ini,363
3262,1790369866588,SYS32_Hardware,900
3262,1790369866588,SYS32_Hardware.exe,32671232
3262,1790369866588,SYS32_Hardware.ini,363
3762,1790369867088,SYS32_Hardware,900
3762,1790369867088,SYS32_Hardware.exe,32671232
3762,1790369867088,SYS32_Hardware.ini,363
4294,1790369867620,SYS32_Hardware,900
4294,1790369867620,SYS32_Hardware.exe,32671232
4294,1790369867620,SYS32_Hardware.ini,363
4824,1790369868151,SYS32_Hardware,900
4824,1790369868151,SYS32_Hardware.exe,32671232
4824,1790369868151,SYS32_Hardware.ini,363
5340,1790369868666,SYS32_Hardware,900
5340,1790369868666,SYS32_Hardware.exe,32671232
5340,1790369868666,SYS32_Hardware.ini,363
5856,1790369869182,SYS32_Hardware,900
5856,1790369869182,SYS32_Hardware.exe,32671232
5856,1790369869182,SYS32_Hardware.ini,363
6371,1790369869698,SYS32_Hardware,900
6371,1790369869698,SYS32_Hardware.exe,32671232
6371,1790369869698,SYS32_Hardware.ini,363
6887,1790369870213,SYS32_Hardware,900
6887,1790369870213,SYS32_Hardware.exe,32671232
6887,1790369870213,SYS32_Hardware.ini,363
7403,1790369870729,SYS32_Hardware,900
7403,1790369870729,SYS32_Hardware.exe,32671232
7403,1790369870729,SYS32_Hardware.ini,363
7918,1790369871244,SYS32_Hardware,900
7918,1790369871244,SYS32_Hardware.exe,32671232
7918,1790369871260,SYS32_Hardware.ini,363
8497,1790369871823,SYS32_Hardware,900
8497,1790369871823,SYS32_Hardware.exe,32671232
8497,1790369871823,SYS32_Hardware.ini,363
9027,1790369872354,SYS32_Hardware,900
9027,1790369872354,SYS32_Hardware.exe,32671232
9027,1790369872369,SYS32_Hardware.ini,363
9543,1790369872869,SYS32_Hardware,900
9543,1790369872869,SYS32_Hardware.exe,32671232
9543,1790369872869,SYS32_Hardware.ini,363
10059,1790369873385,SYS32_Hardware,900
10059,1790369873385,SYS32_Hardware.exe,32671232
10059,1790369873385,SYS32_Hardware.ini,363
10574,1790369873901,SYS32_Hardware,900
