ms,epoch,path,bytes
88,1790371784225,HpDrvPre.sys,19128
88,1790371784272,CAPTURED_HpDrvPre.sys,19128
88,1790371784272,HpDrvTestDrv.sys,19128
88,1790371784287,SYS32_Hardware,900
88,1790371784303,SYS32_Hardware.exe,32671232
88,1790371784303,SYS32_Hardware.ini,363
725,1790371784834,HpDrvPre.sys,19128
725,1790371784834,HpDrvTestDrv.sys,19128
725,1790371784834,SYS32_Hardware,900
725,1790371784850,SYS32_Hardware.exe,32671232
725,1790371784850,SYS32_Hardware.ini,363
1255,1790371785366,HpDrvPre.sys,19128
1255,1790371785366,HpDrvTestDrv.sys,19128
1255,1790371785366,SYS32_Hardware,900
1255,1790371785366,SYS32_Hardware.exe,32671232
1255,1790371785381,SYS32_Hardware.ini,363
1771,1790371785881,HpDrvPre.sys,19128
1771,1790371785897,HpDrvTestDrv.sys,19128
1771,1790371785897,SYS32_Hardware,900
1771,1790371785897,SYS32_Hardware.exe,32671232
1771,1790371785897,SYS32_Hardware.ini,363
2302,1790371786412,HpDrvPre.sys,19128
2302,1790371786412,HpDrvTestDrv.sys,19128
2302,1790371786412,SYS32_Hardware,900
2302,1790371786428,SYS32_Hardware.exe,32671232
2302,1790371786428,SYS32_Hardware.ini,363
2834,1790371786944,HpDrvPre.sys,19128
2834,1790371786944,HpDrvTestDrv.sys,19128
2834,1790371786944,SYS32_Hardware,900
2834,1790371786959,SYS32_Hardware.exe,32671232
2834,1790371786959,SYS32_Hardware.ini,363
3365,1790371787475,HpDrvPre.sys,19128
3365,1790371787475,HpDrvTestDrv.sys,19128
3365,1790371787475,SYS32_Hardware,900
3365,1790371787491,SYS32_Hardware.exe,32671232
3365,1790371787506,SYS32_Hardware.ini,363
3911,1790371788022,HpDrvPre.sys,19128
3911,1790371788022,HpDrvTestDrv.sys,19128
3911,1790371788022,SYS32_Hardware,900
3911,1790371788022,SYS32_Hardware.exe,32671232
3911,1790371788037,SYS32_Hardware.ini,363
4427,1790371788537,HpDrvPre.sys,19128
4427,1790371788537,HpDrvTestDrv.sys,19128
4427,1790371788537,SYS32_Hardware,900
4427,1790371788537,SYS32_Hardware.exe,32671232
4427,1790371788553,SYS32_Hardware.ini,363
4959,1790371789069,HpDrvPre.sys,19128
4959,1790371789069,HpDrvTestDrv.sys,19128
4959,1790371789069,SYS32_Hardware,900
4959,1790371789084,SYS32_Hardware.exe,32671232
4959,1790371789084,SYS32_Hardware.ini,363
5474,1790371789584,HpDrvPre.sys,19128
5474,1790371789584,HpDrvTestDrv.sys,19128
5474,1790371789584,SYS32_Hardware,900
5474,1790371789600,SYS32_Hardware.exe,32671232
5474,1790371789600,SYS32_Hardware.ini,363
5990,1790371790100,HpDrvPre.sys,19128
5990,1790371790100,HpDrvTestDrv.sys,19128
5990,1790371790100,SYS32_Hardware,900
5990,1790371790115,SYS32_Hardware.exe,32671232
5990,1790371790115,SYS32_Hardware.ini,363
6521,1790371790631,HpDrvPre.sys,19128
6521,1790371790631,HpDrvTestDrv.sys,19128
6521,1790371790647,SYS32_Hardware,900
6521,1790371790647,SYS32_Hardware.exe,32671232
6521,1790371790662,SYS32_Hardware.ini,363
