ms,epoch,path,bytes
105,1790369555573,SYS32_Hardware,900
105,1790369555588,SYS32_Hardware.exe,32671232
105,1790369555588,SYS32_Hardware.ini,363
690,1790369556104,SYS32_Hardware,900
690,1790369556104,SYS32_Hardware.exe,32671232
690,1790369556104,SYS32_Hardware.ini,363
1205,1790369556620,SYS32_Hardware,900
1205,1790369556620,SYS32_Hardware.exe,32671232
1205,1790369556620,SYS32_Hardware.ini,363
1721,1790369557135,SYS32_Hardware,900
1721,1790369557135,SYS32_Hardware.exe,32671232
1721,1790369557135,SYS32_Hardware.ini,363
2237,1790369557651,SYS32_Hardware,900
2237,1790369557682,SYS32_Hardware.exe,32671232
2237,1790369557682,SYS32_Hardware.ini,363
2784,1790369558198,SYS32_Hardware,900
2784,1790369558198,SYS32_Hardware.exe,32671232
2784,1790369558198,SYS32_Hardware.ini,363
3299,1790369558713,SYS32_Hardware,900
3299,1790369558713,SYS32_Hardware.exe,32671232
3299,1790369558713,SYS32_Hardware.ini,363
3815,1790369559229,SYS32_Hardware,900
3815,1790369559229,SYS32_Hardware.exe,32671232
3815,1790369559229,SYS32_Hardware.ini,363
4330,1790369559745,SYS32_Hardware,900
4330,1790369559745,SYS32_Hardware.exe,32671232
4330,1790369559745,SYS32_Hardware.ini,363
4846,1790369560260,SYS32_Hardware,900
4846,1790369560260,SYS32_Hardware.exe,32671232
4846,1790369560260,SYS32_Hardware.ini,363
5362,1790369560776,SYS32_Hardware,900
5362,1790369560776,SYS32_Hardware.exe,32671232
5362,1790369560776,SYS32_Hardware.ini,363
5877,1790369561292,SYS32_Hardware,900
5877,1790369561292,SYS32_Hardware.exe,32671232
5877,1790369561292,SYS32_Hardware.ini,363
6399,1790369561807,SYS32_Hardware,900
6399,1790369561807,SYS32_Hardware.exe,32671232
6399,1790369561823,SYS32_Hardware.ini,363
6924,1790369562338,SYS32_Hardware,900
6924,1790369562338,SYS32_Hardware.exe,32671232
6924,1790369562338,SYS32_Hardware.ini,363
7440,1790369562854,SYS32_Hardware,900
7440,1790369562854,SYS32_Hardware.exe,32671232
7440,1790369562870,SYS32_Hardware.ini,363
7955,1790369563370,SYS32_Hardware,900
7955,1790369563370,SYS32_Hardware.exe,32671232
7955,1790369563370,SYS32_Hardware.ini,363
8471,1790369563885,SYS32_Hardware,900
8471,1790369563885,SYS32_Hardware.exe,32671232
8471,1790369563932,SYS32_Hardware.ini,363
9033,1790369564448,SYS32_Hardware,900
9033,1790369564448,SYS32_Hardware.exe,32671232
9033,1790369564448,SYS32_Hardware.ini,363
9549,1790369564963,SYS32_Hardware,900
9549,1790369564963,SYS32_Hardware.exe,32671232
9549,1790369564979,SYS32_Hardware.ini,363
10065,1790369565479,SYS32_Hardware,900
10065,1790369565479,SYS32_Hardware.exe,32671232
10065,1790369565479,SYS32_Hardware.ini,363
10596,1790369566010,SYS32_Hardware,900
10596,1790369566010,SYS32_Hardware.exe,32671232
10596,1790369566010,SYS32_Hardware.ini,363
11128,1790369566542,SYS32_Hardware,900
11128,1790369566542,SYS32_Hardware.exe,32671232
11128,1790369566557,SYS32_Hardware.ini,363
11643,1790369567057,SYS32_Hardware,900
11643,1790369567057,SYS32_Hardware.exe,32671232
11643,1790369567057,SYS32_Hardware.ini,363
12158,1790369567573,SYS32_Hardware,900
12158,1790369567573,SYS32_Hardware.exe,32671232
12158,1790369567588,SYS32_Hardware.ini,363
12674,1790369568088,SYS32_Hardware,900
12674,1790369568088,SYS32_Hardware.exe,32671232
12674,1790369568104,SYS32_Hardware.ini,363
13190,1790369568604,SYS32_Hardware,900
13190,1790369568604,SYS32_Hardware.exe,32671232
13190,1790369568604,SYS32_Hardware.ini,363
13705,1790369569120,SYS32_Hardware,900
13705,1790369569120,SYS32_Hardware.exe,32671232
13705,1790369569120,SYS32_Hardware.ini,363
14221,1790369569635,SYS32_Hardware,900
14221,1790369569635,SYS32_Hardware.exe,32671232
14221,1790369569651,SYS32_Hardware.ini,363
14752,1790369570167,SYS32_Hardware,900
14752,1790369570167,SYS32_Hardware.exe,32671232
14752,1790369570182,SYS32_Hardware.ini,363
15268,1790369570682,SYS32_Hardware,900
15268,1790369570682,SYS32_Hardware.exe,32671232
15268,1790369570682,SYS32_Hardware.ini,363
15784,1790369571198,SYS32_Hardware,900
15784,1790369571198,SYS32_Hardware.exe,32671232
15784,1790369571198,SYS32_Hardware.ini,363
16299,1790369571713,SYS32_Hardware,900
16299,1790369571713,SYS32_Hardware.exe,32671232
16299,1790369571713,SYS32_Hardware.ini,363
16815,1790369572229,SYS32_Hardware,900
16815,1790369572229,SYS32_Hardware.exe,32671232
16815,1790369572229,SYS32_Hardware.ini,363
17315,1790369572729,SYS32_Hardware,900
17315,1790369572729,SYS32_Hardware.exe,32671232
17315,1790369572729,SYS32_Hardware.ini,363
17832,1790369573245,SYS32_Hardware,900
17832,1790369573245,SYS32_Hardware.exe,32671232
17832,1790369573260,SYS32_Hardware.ini,363
18348,1790369573762,HpDrvcJ3VJpDM6pw1PplG6E.sys,0
18348,1790369573762,SYS32_Hardware,900
18348,1790369573778,SYS32_Hardware.exe,32671232
18348,1790369573778,SYS32_Hardware.ini,363
18879,1790369574293,HpDrvI1ST0ABrfY7S76rj10.sys,19128
18879,1790369574309,CAPTURED_HpDrvI1ST0ABrfY7S76rj10.sys,19128
18879,1790369574309,SYS32_Hardware,900
18879,1790369574325,SYS32_Hardware.exe,32671232
18879,1790369574325,SYS32_Hardware.ini,363
19426,1790369574840,SYS32_Hardware,900
19426,1790369574840,SYS32_Hardware.exe,32671232
19426,1790369574840,SYS32_Hardware.ini,363
19938,1790369575352,SYS32_Hardware,900
19938,1790369575352,SYS32_Hardware.exe,32671232
19938,1790369575352,SYS32_Hardware.ini,363
20453,1790369575868,HpDrvk7rKKgvv0HR220ozGA.sys,19128
20453,1790369575868,CAPTURED_HpDrvk7rKKgvv0HR220ozGA.sys,19128
20453,1790369575883,SYS32_Hardware,900
20453,1790369575883,SYS32_Hardware.exe,32671232
20453,1790369575899,SYS32_Hardware.ini,363
20985,1790369576399,SYS32_Hardware,900
20985,1790369576399,SYS32_Hardware.exe,32671232
20985,1790369576399,SYS32_Hardware.ini,363
21500,1790369576915,SYS32_Hardware,900
21500,1790369576915,SYS32_Hardware.exe,32671232
21500,1790369576915,SYS32_Hardware.ini,363
22016,1790369577430,SYS32_Hardware,900
22016,1790369577430,SYS32_Hardware.exe,32671232
22016,1790369577430,SYS32_Hardware.ini,363
22532,1790369577946,SYS32_Hardware,900
22532,1790369577946,SYS32_Hardware.exe,32671232
22532,1790369577946,SYS32_Hardware.ini,363
23048,1790369578462,SYS32_Hardware,900
23048,1790369578462,SYS32_Hardware.exe,32671232
23048,1790369578462,SYS32_Hardware.ini,363
23567,1790369578981,SYS32_Hardware,900
23567,1790369578981,SYS32_Hardware.exe,32671232
23567,1790369578981,SYS32_Hardware.ini,363
