ms,epoch,path,bytes
57,1790370929505,HpDrvPre.sys,19128
57,1790370929552,CAPTURED_HpDrvPre.sys,19128
57,1790370929552,HpDrvTestDrv.sys,19128
57,1790370929583,SYS32_Hardware,900
57,1790370929583,SYS32_Hardware.exe,32671232
57,1790370929583,SYS32_Hardware.ini,363
674,1790370930099,HpDrvPre.sys,19128
674,1790370930099,HpDrvTestDrv.sys,19128
674,1790370930099,SYS32_Hardware,900
674,1790370930114,SYS32_Hardware.exe,32671232
674,1790370930114,SYS32_Hardware.ini,363
1205,1790370930630,HpDrvPre.sys,19128
1205,1790370930630,HpDrvTestDrv.sys,19128
1205,1790370930630,SYS32_Hardware,900
1205,1790370930645,SYS32_Hardware.exe,32671232
1205,1790370930645,SYS32_Hardware.ini,363
1721,1790370931145,HpDrvPre.sys,19128
1721,1790370931145,HpDrvTestDrv.sys,19128
1721,1790370931161,SYS32_Hardware,900
1721,1790370931177,SYS32_Hardware.exe,32671232
1721,1790370931177,SYS32_Hardware.ini,363
2252,1790370931677,HpDrvPre.sys,19128
2252,1790370931677,HpDrvTestDrv.sys,19128
2252,1790370931692,SYS32_Hardware,900
2252,1790370931692,SYS32_Hardware.exe,32671232
2252,1790370931692,SYS32_Hardware.ini,363
2767,1790370932192,HpDrvPre.sys,19128
2767,1790370932192,HpDrvTestDrv.sys,19128
2767,1790370932208,SYS32_Hardware,900
2767,1790370932208,SYS32_Hardware.exe,32671232
2767,1790370932224,SYS32_Hardware.ini,363
3299,1790370932724,HpDrvPre.sys,19128
3299,1790370932724,HpDrvTestDrv.sys,19128
3299,1790370932724,SYS32_Hardware,900
3299,1790370932739,SYS32_Hardware.exe,32671232
3299,1790370932739,SYS32_Hardware.ini,363
3814,1790370933239,HpDrvPre.sys,19128
3814,1790370933239,HpDrvTestDrv.sys,19128
3814,1790370933239,SYS32_Hardware,900
3814,1790370933239,SYS32_Hardware.exe,32671232
3814,1790370933239,SYS32_Hardware.ini,363
4330,1790370933755,HpDrvPre.sys,19128
4330,1790370933755,HpDrvTestDrv.sys,19128
4330,1790370933770,SYS32_Hardware,900
4330,1790370933770,SYS32_Hardware.exe,32671232
4330,1790370933786,SYS32_Hardware.ini,363
4861,1790370934286,HpDrvPre.sys,19128
4861,1790370934286,HpDrvTestDrv.sys,19128
4861,1790370934286,SYS32_Hardware,900
4861,1790370934302,SYS32_Hardware.exe,32671232
4861,1790370934302,SYS32_Hardware.ini,363
5377,1790370934802,HpDrvPre.sys,19128
5377,1790370934802,HpDrvTestDrv.sys,19128
5377,1790370934802,SYS32_Hardware,900
5377,1790370934817,SYS32_Hardware.exe,32671232
5377,1790370934817,SYS32_Hardware.ini,363
5893,1790370935317,HpDrvPre.sys,19128
5893,1790370935317,HpDrvTestDrv.sys,19128
5893,1790370935317,SYS32_Hardware,900
5893,1790370935333,SYS32_Hardware.exe,32671232
5893,1790370935333,SYS32_Hardware.ini,363
6408,1790370935833,HpDrvPre.sys,19128
6408,1790370935833,HpDrvTestDrv.sys,19128
6408,1790370935849,SYS32_Hardware,900
6408,1790370935849,SYS32_Hardware.exe,32671232
6408,1790370935864,SYS32_Hardware.ini,363
6939,1790370936364,HpDrvPre.sys,19128
6939,1790370936364,HpDrvTestDrv.sys,19128
6939,1790370936364,SYS32_Hardware,900
6939,1790370936380,SYS32_Hardware.exe,32671232
6939,1790370936380,SYS32_Hardware.ini,363
7471,1790370936896,HpDrvPre.sys,19128
7471,1790370936896,HpDrvTestDrv.sys,19128
7471,1790370936896,SYS32_Hardware,900
7471,1790370936911,SYS32_Hardware.exe,32671232
7471,1790370936911,SYS32_Hardware.ini,363
7986,1790370937411,HpDrvPre.sys,19128
7986,1790370937411,HpDrvTestDrv.sys,19128
7986,1790370937411,SYS32_Hardware,900
7986,1790370937427,SYS32_Hardware.exe,32671232
7986,1790370937427,SYS32_Hardware.ini,363
8518,1790370937942,HpDrvPre.sys,19128
8518,1790370937942,HpDrvTestDrv.sys,19128
8518,1790370937974,SYS32_Hardware,900
8518,1790370937974,SYS32_Hardware.exe,32671232
8518,1790370937974,SYS32_Hardware.ini,363
9064,1790370938489,HpDrvPre.sys,19128
9064,1790370938489,HpDrvTestDrv.sys,19128
9064,1790370938489,SYS32_Hardware,900
9064,1790370938505,SYS32_Hardware.exe,32671232
9064,1790370938505,SYS32_Hardware.ini,363
9580,1790370939005,HpDrvPre.sys,19128
9580,1790370939005,HpDrvTestDrv.sys,19128
9580,1790370939005,SYS32_Hardware,900
9580,1790370939020,SYS32_Hardware.exe,32671232
9580,1790370939020,SYS32_Hardware.ini,363
10096,1790370939520,HpDrvPre.sys,19128
10096,1790370939520,HpDrvTestDrv.sys,19128
10096,1790370939520,SYS32_Hardware,900
10096,1790370939536,SYS32_Hardware.exe,32671232
10096,1790370939536,SYS32_Hardware.ini,363
10627,1790370940052,HpDrvPre.sys,19128
10627,1790370940052,HpDrvTestDrv.sys,19128
10627,1790370940052,SYS32_Hardware,900
10627,1790370940067,SYS32_Hardware.exe,32671232
10627,1790370940067,SYS32_Hardware.ini,363
11143,1790370940567,HpDrvPre.sys,19128
11143,1790370940567,HpDrvTestDrv.sys,19128
11143,1790370940567,SYS32_Hardware,900
11143,1790370940583,SYS32_Hardware.exe,32671232
11143,1790370940583,SYS32_Hardware.ini,363
11674,1790370941099,HpDrvPre.sys,19128
11674,1790370941099,HpDrvTestDrv.sys,19128
11674,1790370941099,SYS32_Hardware,900
11674,1790370941099,SYS32_Hardware.exe,32671232
11674,1790370941114,SYS32_Hardware.ini,363
12189,1790370941614,HpDrvPre.sys,19128
12189,1790370941614,HpDrvTestDrv.sys,19128
12189,1790370941614,SYS32_Hardware,900
12189,1790370941630,SYS32_Hardware.exe,32671232
12189,1790370941630,SYS32_Hardware.ini,363
12705,1790370942130,HpDrvPre.sys,19128
12705,1790370942130,HpDrvTestDrv.sys,19128
12705,1790370942130,SYS32_Hardware,900
12705,1790370942145,SYS32_Hardware.exe,32671232
12705,1790370942145,SYS32_Hardware.ini,363
13221,1790370942645,HpDrvPre.sys,19128
13221,1790370942645,HpDrvTestDrv.sys,19128
13221,1790370942645,SYS32_Hardware,900
13221,1790370942661,SYS32_Hardware.exe,32671232
13221,1790370942661,SYS32_Hardware.ini,363
13736,1790370943161,HpDrvPre.sys,19128
13736,1790370943161,HpDrvTestDrv.sys,19128
13736,1790370943161,SYS32_Hardware,900
13736,1790370943177,SYS32_Hardware.exe,32671232
