slot_va	rva	target_va	is_pdata_start	target_owner
0x140f8d0bc	0x650063	0x140650063	no	0x140643ae0..0x1406656b1
0x140f8d0c0	0x5c0073	0x1405c0073	no	0x1405a0700..0x1405c16cf
0x140f8d0c8	0x32304c	0x14032304c	no	NO-FUNCTION
0x140f8d0cc	0x33304c	0x14033304c	no	NO-FUNCTION
0x140f8d0d0	0x3f005c	0x1403f005c	no	NO-FUNCTION
0x140f8d0d4	0x5c003f	0x1405c003f	no	0x1405a0700..0x1405c16cf
0x140f8d0dc	0x34304c	0x14034304c	no	NO-FUNCTION
0x140f8d0e0	0x6d0049	0x1406d0049	no	0x1406cd1b0..0x1406daca2
0x140f8d0e4	0x670061	0x140670061	no	0x140665910..0x140680974
0x140f8d0e8	0x500065	0x140500065	no	NO-FUNCTION
0x140f8d0ec	0x740061	0x140740061	no	0x1407206a0..0x14075b438
0x140f8d0f4	0x35304c	0x14035304c	no	NO-FUNCTION
0x140f8d0f8	0x790054	0x140790054	no	0x140790010..0x140790073
0x140f8d0fc	0x650070	0x140650070	no	0x140643ae0..0x1406656b1
0x140f8d104	0x36304c	0x14036304c	no	NO-FUNCTION
0x140f8d108	0x37304c	0x14037304c	no	0x140372900..0x1403774ca
0x140f8d10c	0x38304c	0x14038304c	no	0x14037cb90..0x140383f00
0x140f8d110	0x39304c	0x14039304c	no	0x140384a80..0x1403a85db
0x140f8d114	0x30314c	0x14030314c	no	NO-FUNCTION
0x140f8d118	0x31314c	0x14031314c	no	NO-FUNCTION
0x140f8d11c	0x32314c	0x14032314c	no	NO-FUNCTION
0x140f8d120	0x33314c	0x14033314c	no	NO-FUNCTION
0x140f8d124	0x34314c	0x14034314c	no	NO-FUNCTION
0x140f8d128	0x35314c	0x14035314c	no	NO-FUNCTION
0x140f8d140	0x32336d	0x14032336d	no	NO-FUNCTION
0x140f8d158	0x32336d	0x14032336d	no	NO-FUNCTION
0x140f8d1a8	0x313043	0x140313043	no	NO-FUNCTION
0x140f8d1dc	0x323043	0x140323043	no	NO-FUNCTION
0x140f8d260	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8d264	0x333043	0x140333043	no	NO-FUNCTION
0x140f8d2f8	0x343043	0x140343043	no	NO-FUNCTION
0x140f8d338	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8d364	0x353043	0x140353043	no	NO-FUNCTION
0x140f8d368	0x363043	0x140363043	no	NO-FUNCTION
0x140f8d3bc	0x586c38	0x140586c38	no	NO-FUNCTION
0x140f8d3c0	0x373043	0x140373043	no	0x140372900..0x1403774ca
0x140f8d3c4	0x383043	0x140383043	no	0x14037cb90..0x140383f00
0x140f8d3fc	0x393043	0x140393043	no	0x140384a80..0x1403a85db
0x140f8d438	0x303143	0x140303143	no	NO-FUNCTION
0x140f8d47c	0x313143	0x140313143	no	NO-FUNCTION
0x140f8d4b8	0x323143	0x140323143	no	NO-FUNCTION
0x140f8d4bc	0x333143	0x140333143	no	NO-FUNCTION
0x140f8d514	0x73253d	0x14073253d	no	0x1407206a0..0x14075b438
0x140f8d518	0x343143	0x140343143	no	NO-FUNCTION
0x140f8d51c	0x353143	0x140353143	no	NO-FUNCTION
0x140f8d59c	0x363143	0x140363143	no	NO-FUNCTION
0x140f8d620	0x373143	0x140373143	no	0x140372900..0x1403774ca
0x140f8d624	0x383143	0x140383143	no	0x14037cb90..0x140383f00
0x140f8d680	0x7325	0x140007325	no	0x1400019d0..0x14001bde5
0x140f8d684	0x393143	0x140393143	no	0x140384a80..0x1403a85db
0x140f8d708	0x303243	0x140303243	no	NO-FUNCTION
0x140f8d754	0x586c38	0x140586c38	no	NO-FUNCTION
0x140f8d7a4	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8d930	0x7325	0x140007325	no	0x1400019d0..0x14001bde5
0x140f8d990	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8dad4	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8db10	0x586c38	0x140586c38	no	NO-FUNCTION
0x140f8db80	0x586c38	0x140586c38	no	NO-FUNCTION
0x140f8dbe4	0x586c38	0x140586c38	no	NO-FUNCTION
0x140f8dc30	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8dc34	0x4255	0x140004255	no	0x1400019d0..0x14001bde5
0x140f8dc70	0xe9d1	0x14000e9d1	no	0x1400019d0..0x14001bde5
0x140f8dc8c	0x21c2d6	0x14021c2d6	no	NO-FUNCTION
0x140f8dcb0	0x646c69	0x140646c69	no	0x140643ae0..0x1406656b1
0x140f8dcc0	0x3a0043	0x1403a0043	no	0x140384a80..0x1403a85db
0x140f8dcc4	0x50005c	0x14050005c	no	NO-FUNCTION
0x140f8dcc8	0x6f0072	0x1406f0072	no	0x1406dacb0..0x140720697
0x140f8dccc	0x720067	0x140720067	no	0x1406dacb0..0x140720697
0x140f8dcd0	0x6d0061	0x1406d0061	no	0x1406cd1b0..0x1406daca2
0x140f8dcd4	0x460020	0x140460020	no	NO-FUNCTION
0x140f8dcd8	0x6c0069	0x1406c0069	no	0x14069eaa0..0x1406cd1a2
0x140f8dcdc	0x730065	0x140730065	no	0x1407206a0..0x14075b438
0x140f8dce0	0x41005c	0x14041005c	no	NO-FUNCTION
0x140f8dce4	0x74006e	0x14074006e	no	0x1407206a0..0x14075b438
0x140f8dce8	0x430069	0x140430069	no	NO-FUNCTION
0x140f8dcec	0x650068	0x140650068	no	0x140643ae0..0x1406656b1
0x140f8dcf0	0x740061	0x140740061	no	0x1407206a0..0x14075b438
0x140f8dcf4	0x780045	0x140780045	no	0x140770330..0x140783d53
0x140f8dcf8	0x650070	0x140650070	no	0x140643ae0..0x1406656b1
0x140f8dcfc	0x740072	0x140740072	no	0x1407206a0..0x14075b438
0x140f8dd10	0x3a0043	0x1403a0043	no	0x140384a80..0x1403a85db
0x140f8dd14	0x50005c	0x14050005c	no	NO-FUNCTION
0x140f8dd18	0x6f0072	0x1406f0072	no	0x1406dacb0..0x140720697
0x140f8dd1c	0x720067	0x140720067	no	0x1406dacb0..0x140720697
0x140f8dd20	0x6d0061	0x1406d0061	no	0x1406cd1b0..0x1406daca2
