string_va	encoding	region	referencing_function	insn_va	string
0x140f90a18	ascii	rdata_tail	FUN_14079d7f0	0x14079d974	SYSTEM\CurrentControlSet\Services\SecurityHealthService
0x140f90a18	ascii	rg2	FUN_14079d7f0	0x14079d974	SYSTEM\CurrentControlSet\Services\SecurityHealthService
0x140f90c20	ascii	rdata_tail	FUN_14079d7f0	0x14079dea7	SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90c20	ascii	rdata_tail	FUN_14079d7f0	0x14079dece	SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90c20	ascii	rdata_tail	FUN_14079d7f0	0x14079def5	SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90c20	ascii	rg2	FUN_14079d7f0	0x14079dea7	SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90c20	ascii	rg2	FUN_14079d7f0	0x14079dece	SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90c20	ascii	rg2	FUN_14079d7f0	0x14079def5	SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90ca0	ascii	rdata_tail	FUN_14079d7f0	0x14079df19	SYSTEM\CurrentControlSet\Control\DeviceGuard\Scenarios\HypervisorEnforcedCodeIntegrity
0x140f90ca0	ascii	rg2	FUN_14079d7f0	0x14079df19	SYSTEM\CurrentControlSet\Control\DeviceGuard\Scenarios\HypervisorEnforcedCodeIntegrity
0x140f90d18	ascii	rdata_tail	FUN_14079d7f0	0x14079df3d	SYSTEM\CurrentControlSet\Control\CI\Policy
0x140f90d18	ascii	rg2	FUN_14079d7f0	0x14079df3d	SYSTEM\CurrentControlSet\Control\CI\Policy
0x140f90dd0	ascii	rdata_tail	FUN_14079d7f0	0x14079dfa9	SYSTEM\CurrentControlSet\Control\Session Manager\Power
0x140f90dd0	ascii	rdata_tail	FUN_14079e190	0x14079e1f3	SYSTEM\CurrentControlSet\Control\Session Manager\Power
0x140f90dd0	ascii	rdata_tail	FUN_14079e190	0x14079e230	SYSTEM\CurrentControlSet\Control\Session Manager\Power
0x140f90dd0	ascii	rg2	FUN_14079d7f0	0x14079dfa9	SYSTEM\CurrentControlSet\Control\Session Manager\Power
0x140f90dd0	ascii	rg2	FUN_14079e190	0x14079e1f3	SYSTEM\CurrentControlSet\Control\Session Manager\Power
0x140f90dd0	ascii	rg2	FUN_14079e190	0x14079e230	SYSTEM\CurrentControlSet\Control\Session Manager\Power
