ms,epoch,path,bytes
141,1790365117372,bb3a785178f443fda931098a5a9a306b.db.ses,53
141,1790365117387,FXSAPIDebugLogFile.txt,0
141,1790365117387,FXSTIFFDebugLogFile.txt,0
141,1790365117403,MpCmdRun.log,22882
141,1790365117403,MpSigStub.log,97512
141,1790365117403,msedge_installer.log,68015
141,1790365117419,skin.zip,231625
141,1790365117434,SYS32_Hardware.exe,32671232
746,1790365117934,bb3a785178f443fda931098a5a9a306b.db.ses,53
746,1790365117934,FXSAPIDebugLogFile.txt,0
746,1790365117934,FXSTIFFDebugLogFile.txt,0
746,1790365117966,MpCmdRun.log,22882
746,1790365117966,MpSigStub.log,97512
746,1790365117981,msedge_installer.log,68015
746,1790365117981,skin.zip,231625
746,1790365118012,SYS32_Hardware.exe,32671232
1339,1790365118528,bb3a785178f443fda931098a5a9a306b.db.ses,53
1339,1790365118528,FXSAPIDebugLogFile.txt,0
1339,1790365118544,FXSTIFFDebugLogFile.txt,0
1339,1790365118544,MpCmdRun.log,22882
1339,1790365118559,MpSigStub.log,97512
1339,1790365118575,msedge_installer.log,68015
1339,1790365118591,skin.zip,231625
1339,1790365118591,SYS32_Hardware.exe,32671232
1902,1790365119091,bb3a785178f443fda931098a5a9a306b.db.ses,53
1902,1790365119091,FXSAPIDebugLogFile.txt,0
1902,1790365119091,FXSTIFFDebugLogFile.txt,0
1902,1790365119106,MpCmdRun.log,22882
1902,1790365119106,MpSigStub.log,97512
1902,1790365119106,msedge_installer.log,68015
1902,1790365119122,skin.zip,231625
1902,1790365119122,SYS32_Hardware.exe,32671232
2448,1790365119637,bb3a785178f443fda931098a5a9a306b.db.ses,53
2448,1790365119637,FXSAPIDebugLogFile.txt,0
2448,1790365119653,FXSTIFFDebugLogFile.txt,0
2448,1790365119669,MpCmdRun.log,22882
2448,1790365119684,MpSigStub.log,97512
2448,1790365119684,msedge_installer.log,68015
2448,1790365119700,skin.zip,231625
2448,1790365119716,SYS32_Hardware.exe,32671232
3042,1790365120231,bb3a785178f443fda931098a5a9a306b.db.ses,53
3042,1790365120231,FXSAPIDebugLogFile.txt,0
3042,1790365120231,FXSTIFFDebugLogFile.txt,0
3042,1790365120231,MpCmdRun.log,22882
3042,1790365120247,MpSigStub.log,97512
3042,1790365120247,msedge_installer.log,68015
3042,1790365120247,skin.zip,231625
